"geneID","2_S1","2M_S7","6_S2","6M_S8","8_S3","8M_S9","10_S4","10M_S10","12_S5","12M_S11","13_S6","13M_S12"
"140","PFLU_0538",0,0,0,0,0.060038,0,0,0,0.10118,0.0321332,0,0
"141","PFLU_0553",1.42665,1.39382,15.9324,8.65893,6.19289,2.99029,5.79777,3.84637,4.93735,1.30479,3.60222,6.09647
"142","PFLU_0556",6.51472,4.05529,11.0906,8.82913,6.90183,6.23458,11.9446,7.35782,10.8834,5.17322,17.1121,7.86849
"143","PFLU_0585",0,0,0,0,0,0,0,0,0,0,0,0.173738
"144","PFLU_0612",0,0,0,0,0,0,0,0,0,0.0469769,0,0
"145","PFLU_0614",14.9371,8.88274,25.1126,16.8816,28.8997,15.7479,33.2976,17.9845,28.2377,12.6408,44.8556,21.1669
"146","PFLU_0689",9.99101,7.93219,32.805,27.1227,41.7732,15.9442,29.6233,20.6804,34.7713,11.5039,62.0769,28.7624
"147","PFLU_0699",0.0949565,0.130128,0.26837,0.0480944,0.347209,0.129423,0.454738,0.252436,0.402365,0.116196,0.347671,0.249273
"148","PFLU_0729",0,0,0,0,0,0.0786016,0,0,0,0,0,0
"149","PFLU_0765",0.953262,0.619252,1.50682,0.804502,0,0.423821,0,0.537001,0,0,3.19484,0
"150","PFLU_0771",0,0,0.322317,0,0.156592,0,0,0,0.395374,0,0,0.150185
"151","PFLU_0776",0,0,0,0,0,0,0,0,0,0.235143,0,0
"152","PFLU_0816",0,0.0382092,0,0,0,0,0,0.0324343,0,0,0,0
"153","PFLU_0835",0,0,0.137272,0,0,0,0,0,0,0,0,0
"154","PFLU_0837",0,0,0,0,0,0,0,0,0,0,0.113319,0
"155","PFLU_0840",8581.82,7825.8,25568,20329.3,18060.2,11549.6,11400.2,9927.27,4518.31,4597.02,12358.9,15209.4
"156","PFLU_0842",5.36124,4.47821,16.2865,10.6677,13.0824,7.97679,11.8948,9.50456,14.6207,6.99096,18.0252,10.1453
"157","PFLU_0863",0.061927,0.0605226,0,0.313296,0,0,0,0.102772,0,0,0.125247,0
"158","PFLU_0944",3.01294,2.54071,10.1436,8.36922,12.2832,5.36239,12.3158,6.56934,11.0224,3.46079,18.5269,12.1646
"159","PFLU_0998",0,0,0,0,0,0,0,0,0,0.126089,0.104568,0.113074
"160","PFLU_1052",0,0,0,0,0,0,0,0,0,0,0.0428449,0
"161","PFLU_1058",0,0.100037,0.320945,0.431416,0,0.0463508,0,0.0566093,0.0656164,0,0.0691922,0
"162","PFLU_1140",0,0.0394065,0,0,0,0,0,0,0,0,0,0
"163","PFLU_1161",0,0.0290341,0.209582,0,0,0,0,0,0,0.0362844,0,0
"164","PFLU_1189",45.1199,53.5105,76.9187,68.0229,77.352,46.7577,64.439,62.1169,64.6498,30.5974,93.3537,105.873
"165","PFLU_1207",0.0379845,0,0,0,0,0,0.0756137,0.0315396,0.0731139,0,0,0
"166","PFLU_1239",0,0,0.107846,0,0.0523285,0,0,0,0,0,0,0
"167","PFLU_1255",0.0239223,0,0,0,0,0,0,0,0,0,0,0
"168","PFLU_1269",0.0852233,0.16644,0.200275,0.215444,0,0.115006,0,0,0,0,0.171831,0
"169","PFLU_1270",3289.03,2961.29,11183.9,8425.42,9535.6,6016.74,7201.15,4942,2809.21,1948.34,6812.08,8045.37
"170","PFLU_1271",0,0,0.178952,0,0,0,0,0,0,0,0,0
"171","PFLU_1289",0,0,0,0,0,0.0514218,0.0753179,0.0314158,0,0.0462403,0.076767,0.0828204
"172","PFLU_1291",0.0975122,0,0,0.616872,0.22281,0.198466,0.193852,0.242829,0.375253,0,0.197563,1.06765
"173","PFLU_1302A",0,0,0,0,0,0.648589,0,0,0,0,0,0
"174","PFLU_1324",0,0.0277117,0,0,0,0,0,0,0,0,0.0575339,0
"175","PFLU_1343",0,0,0,0,0,0,0,0,0,0,0,0.191087
"176","PFLU_1375",0,0,0,0,0,0,0,0,0,0,0.102121,0
"177","PFLU_1377",0,0,0,0,0.0828749,0,0,0.0301153,0,0,0.220805,0
"178","PFLU_1388",0,0,0,0.137645,0,0,0,0,0,0,0,0
"179","PFLU_1399",0.0264164,0,0,0,0,0,0,0,0,0,0,0
"180","PFLU_1480",0.189763,0,0.222901,0.239798,0,0,0,0,0,0,0,0.208089
"181","PFLU_1489",0,0,0,0,0,0.0653344,0,0,0,0,0,0
"182","PFLU_1525",0.0700353,0,0,0,0,0,0,0,0,0,0,0
"183","PFLU_1538",6.47202,4.9506,16.496,12.0268,18.8831,10.85,17.2986,12.2235,22.783,8.4591,40.7588,16.9207
"184","PFLU_1542",0.438164,0.32164,0.567526,1.33145,2.15286,0.746176,2.62195,2.25669,4.85216,1.09894,3.07368,2.39656
"185","PFLU_1556",0.0459056,0.0898565,0.0540513,0.116241,0,0.0625304,0.183107,0.0381325,0.0884057,0,0.0466634,0.100436
"186","PFLU_1565",2.00343,1.31873,5.32893,3.41169,5.80208,2.07204,5.17042,3.47239,6.38727,2.36728,9.17123,4.60914
"187","PFLU_1586",0.0637728,0.0623223,0,0.161309,0,0,0,0.0529147,0,0,0.128948,0
"188","PFLU_1621",0,0,0,0,0.242449,0,0,0,0,0,0.214858,0.116195
"189","PFLU_1643",0.0226557,0,0,0,0,0.0308619,0.045186,0.0376393,0.0436312,0,0.322429,0.0991356
"190","PFLU_1649",1398.3,1286.24,5610.75,3896.19,3784.73,2506.38,3046.32,2975.15,1161.38,826.205,1925.13,3014.33
"191","PFLU_1661",0,0,0.280835,0,0,0,0,0,0,0,0,0
"192","PFLU_1698",0,0,0,0,0,0,0,0.248174,0,0,0,0
"193","PFLU_1813",0.549092,0,0,0,0,0,0,0,0,0,0,0
"194","PFLU_1814",0,0,0.0875081,0,0,0,0.0740153,0,0,0,0,0
"195","PFLU_1815",0,0,0.229433,0,0.22281,0,0.290777,0.080943,0.28144,0,0.395126,0.106765
"196","PFLU_1818",0.0346366,0,0,0,0.0791489,0,0.551825,0.460198,0.26671,0.0846803,0.421843,0.227432
"197","PFLU_1819",0,0,0,0,0,0,0,0.239509,0.185006,0,0.19389,0
"198","PFLU_1820",0,0,0,0,0,0,0.0422608,0.0175988,0,0,0,0
"199","PFLU_1821",0,0,0,0,0.117659,0,0.409336,0.0854821,0.0990724,0,0,0.112771
"200","PFLU_1823",0,0,0.127981,0,0,0,0,0,0,0,0,0
"201","PFLU_1824",14.5007,16.4174,97.0229,58.6692,174.818,88.8535,465.365,725.953,925.523,462.926,783.179,677.167
"202","PFLU_1835",0,0,0,0.130993,0,0,0.102881,0.214853,0.199208,0.189641,0,0.113378
"203","PFLU_1869",0,0,0,0,0,0.11551,0,0,0,0,0,0
"204","PFLU_2032",0,0,0.0688016,0,0,0,0,0,0,0,0,0
"205","PFLU_2086",0.430719,0.300683,1.30242,1.08954,1.82762,0.333318,1.58766,0.663754,2.24852,0.675745,1.74234,0.808782
"206","PFLU_2111",5.16213,3.00897,8.05803,4.01912,8.73292,3.09765,5.32785,4.57329,5.8257,3.09137,8.94913,3.36953
"207","PFLU_2160",0,0,0.0881883,0,0,0,0,0,0,0,0,0
"208","PFLU_2215",0.781372,0.314628,0.540775,0.465262,0.840197,0.124784,0.731241,0.686808,0.35379,0.224574,1.58367,1.00639
"209","PFLU_2232",2.10092,0.941705,5.15,3.76617,5.30068,3.26884,7.48767,4.86915,6.90702,2.78052,14.6415,4.98308
"210","PFLU_2236",0,0,0,0,0,0.10662,0,0,0,0.0962088,0,0
"211","PFLU_2301",1.14408,1.16532,1.79464,1.08566,0.980312,0.258768,1.23213,0.751849,1.28417,0.582218,1.8353,0.208765
"212","PFLU_2327",0,0,0,0,0,0,0,0,0,0,0.095421,0
"213","PFLU_2352",9.44957,5.63776,3.56139,3.28352,3.62563,1.65807,2.28774,1.61564,2.77372,1.23143,2.18539,0.790403
"214","PFLU_2353",0,0.047553,0,0.123063,0,0,0,0,0,0,0,0
"215","PFLU_2373",0,0.0397386,0,0,0,0,0,0,0,0,0,0
"216","PFLU_2410",0,0.058641,0,0,0,0.0812712,0,0,0,0,0,0
"217","PFLU_2419",0.167518,0,0,0,0.38252,0,0,0,0,0,0,0
"218","PFLU_2546",0,0,0,0,0,0,0,0.03099,0,0.0456145,0,0
"219","PFLU_2552",0.090406,0.101822,0.202376,0.194681,0.258278,0.0679197,0.144577,0.157785,0.235189,0.110734,0.359289,0.158142
"220","PFLU_2615",0,0,0,0.0998847,0.0901766,0,0,0,0,0,0,0
"221","PFLU_2629",21.9968,13.9604,16.7963,12.0423,9.02676,7.25272,8.3929,6.5591,9.32998,4.05806,11.5568,4.61961
"222","PFLU_2662",4.63002,3.43474,15.4718,11.1176,18.0503,7.078,12.6639,7.44063,16.0474,5.25499,21.5491,10.6533
"223","PFLU_2681",0,0,0.0531026,0.0571002,0,0,0.0899499,0.0187315,0,0,0,0.0493354
"224","PFLU_2695",0,0,0,0,0.108121,0,0.0940846,0,0,0,0,0.103612
"225","PFLU_2750",0.809612,0.717008,1.67978,2.39199,2.55506,1.55005,3.30777,1.85763,3.93552,1.62755,5.92051,2.57235
"226","PFLU_2763",0,0,0,0,0,0,0,0,0,0,0,0.0592677
"227","PFLU_2816",0.0396259,0.0775175,0,0.200591,0.0905476,0.107682,0,0.0658021,0.0762692,0,0,0.260236
"228","PFLU_2930",0.619987,0.625271,1.10622,0.618521,1.11632,0.819441,1.08718,1.01452,1.55601,0.643724,2.78981,1.19188
"229","PFLU_2944",0,0,0,0,0,0,0,0,0,0,0.0772199,0
"230","PFLU_2990",0,0.0773585,0,0.10009,0.0903617,0,0.157408,0,0,0.048324,0,0
"231","PFLU_3002",0,0,0,0,0,0.0650117,0,0,0,0,0,0
"232","PFLU_3036",0,0,0,0,0,0,0,0,0,0,0.0909985,0
